exchangeAddress,exchangeName,Chain
0x876eabf441b2ee5b5b0554fd502a8e0600950cfa,Bitfinex 3,Ethereum
0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,Bitfinex 4,Ethereum
0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,Bitfinex 5,Ethereum
0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82,Bitfinex 6,Ethereum
0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c,Bitfinex 7,Ethereum
0x3f7e77b627676763997344a1ad71acb765fc8ac5,Bitfinex 8,Ethereum
0x59448fe20378357f206880c58068f095ae63d5a5,Bitfinex 9,Ethereum
0xab7c74abc0c4d48d1bdad5dcb26153fc8780f83e,Bitfinex: MultiSig 1,Ethereum
0xc6cde7c39eb2f0f0095f41570af89efc2c1ea828,Bitfinex: MultiSig 2,Ethereum
0xc61b9bb3a7a0767e3179713f3a5c7a9aedce193c,Bitfinex: MultiSig 3,Ethereum
0x111cff45948819988857bbf1966a0399e0d1141e,bitFlyer,Ethereum
0xdf5021a4c1401f1125cd347e394d977630e17cf7,BITFRONT,Ethereum
0x88d34944cf554e9cccf4a24292d891f620e9c94f,Bithumb 1,Ethereum
0x186549a4ae594fc1f70ba4cffdac714b405be3f9,Bithumb 10,Ethereum
0xd273bd546b11bd60214a2f9d71f22a088aafe31b,Bithumb 11,Ethereum
0x558553d54183a8542f7832742e7b4ba9c33aa1e6,Bithumb 12,Ethereum
0x3052cd6bf951449a984fe4b5a38b46aef9455c8e,Bithumb 2,Ethereum
0x2140efd7ba31169c69dfff6cdc66c542f0211825,Bithumb 3,Ethereum
0xa0ff1e0f30b5dda2dc01e7e828290bc72b71e57d,Bithumb 4,Ethereum
0xc1da8f69e4881efe341600620268934ef01a3e63,Bithumb 5,Ethereum
0xb4460b75254ce0563bb68ec219208344c7ea838c,Bithumb 6,Ethereum
0x15878e87c685f866edfaf454be6dc06fa517b35b,Bithumb 7,Ethereum
0x31d03f07178bcd74f9099afebd23b0ae30184ab5,Bithumb 8,Ethereum
0xed48dc0628789c2956b1e41726d062a86ec45bff,Bithumb 9,Ethereum
0x3fbe1f8fc5ddb27d428aa60f661eaaab0d2000ce,Bithumb: Contract 1,Ethereum
0x603d022611bfe6a101dcdab207d96c527f1d4d8e,BitKeep: NFT Exchange,Ethereum
0xdb044b8298e04d442fdbe5ce01b8cc8f77130e33,Bitkub Hot Wallet 1,Ethereum
0xe79eef9b9388a4ff70ed7ec5bccd5b928ebb8bd1,BitMart,Ethereum
0x68b22215ff74e3606bd5e6c1de8c2d68180c85f7,BitMart 2,Ethereum
0xeea81c4416d71cef071224611359f6f99a4c4294,BitMEX 1,Ethereum
0xfb8131c260749c7835a08ccbdb64728de432858e,BitMEX 2,Ethereum
0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,Bitrue,Ethereum
0x00bdb5699745f5b860228c8f939abf1b9ae374ed,Bitstamp 1,Ethereum
0x1522900b6dafac587d499a862861c0869be6e428,Bitstamp 2,Ethereum
